id;Title;Principal Aim;Principal Aim 2;Proposes a model or method?;Author (citation APA);Country of the data;Publication Year;Journal Name;Type of Journal;N;Type of participant;Age;Sport;Sport_1;Gender;Category participants;Name of source data;Category classification;Type of model;Type of survival model/analysis;Details of the analysis;Kaplan-Meier;Cox;Logistic regression or rates;Log-rank;Tarone_test;Prentice_wilcoxon;Harrington–Fleming;Cox Random effects;MSM;GLM pseudo-obs;Random survival forest;Prametric model;Fine-Gray model;Aalen-Johansen;Competing-risks;Bayesian multilevel logistic regression;Any method;Type of paradigm;Statistical software;Macro/package;Data sharing;Code sharing;Purpose of the analysis;Identify dates or events;Circumstances data censored;Statistical methods rates;Assumptions of survival analysis;Give the estimated survival probability;Nº participants en risk;Plot cumulative ;Reporting median survival times;Results in a graph or table;Statistical methods compare curves;Report the P value;Regression model;Measure of risk;Additional information;Censoring type;Truncament;Random effects;Time dependent
91;Polyurethane Meniscal Scaffold for the Treatment of Partial Meniscal Deficiency: 5-Year Follow-up Outcomes: A European Multicentric Study;To present the findings and outcomes of a study that investigated the use of a biodegradable polyurethane scaffold for treating patients with painful partial meniscal defects;.;N;Toanen, C., Dhollander, A., Bulgheroni, P., Filardo, G., Zaffagnini, S., Spalding, T., Monllau, J. C., Gelber, P., Verdonk, R., Beaufils, P., Pujol, N., Bulgheroni, E., Asplin, L., & Verdonk, P. (2020).;France;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;155;Cases;[18-55];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
92;Postoperative flares and peri-arthroscopic management of immunosuppressive medications in patients with rheumatic disease;To determine the rate and characteristics of postoperative flares in rheumatic disease patients undergoing arthroscopic surgery, and the role of perioperative immunosuppression (IS) management in preventing or provoking these exacerbations;.;N;Vasavada, K., Shankar, D. S., Avila, A., Lin, C. C., Marulanda, D., Jazrawi, L. M., & Samuels, J. (2023).;USA;2023;THE KNEE;Sports Medicine;428;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Multivariable logistic regression;Multivariable logistic regression and Cox proportional regression model;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;Yes;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
93;Predicting the Risk of Posttraumatic Osteoarthritis After Primary Anterior Cruciate Ligament Reconstruction: A Machine Learning Time-to-Event Analysis;To produce machine learning survival models that can identify patients at risk of symptomatic PTOA and patients who are at risk of undergoing total knee arthroplasty (TKA) after ACLR;.;Y;Lu, Y., Reinholz, A. K., Till, S. E., Kalina, S. V., Saris, D. B. F., Camp, C. L., & Stuart, M. J. (2023).;USA;2023;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;974;Cases;26;Not sport;.;Both;Not sport;Rochester Epidemiology Database;Health;Y;Random survival forest;Random survival forest and Kaplan-Meier;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;OK;Frequentist;R;No;No;No;Yes;Yes;Partial;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
94;Preventive effect of tailored exercises on patellar tendinopathy in elite youth athletes: A cohort study;To investigate the effects of an intervention with tailored exercises on the incidence of patellar tendinopathy (PT) in elite youth jumping athletes;.;N;Bittencourt, N. F. N., Oliveira, R. R., Vaz, R. P. M., Silva, R. S., & Mendonça, L. M. (2022).;Brazil;2022;PHYSICAL THERAPY IN SPORT;Sports Medicine;270;Elite youth basketball and volleyball players;14.4;Basketball and Volleyball;Volleyball;Both;Both;Not reported;Sports Performance Analysis;Y;Cox Regression;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;Yes
95;Primary Hip Arthroscopy for Femoroacetabular Impingement Syndrome in Adolescents Improves Outcomes and Clinical Benefit Achievement Rates at Short-Term Follow-Up: A Multicenter Analysis;To report minimum 2-year follow-up patient-reported outcome scores (PROs) and rates of achieving the minimal clinically important difference (MCID), the patient-acceptable symptomatic state (PASS), and the maximal outcome improvement (MOI) on adolescents following primary hip arthroscopy for femoroacetabular impingement syndrome (FAIS);To determine risk factors for revision surgery;N;Maldonado, D. R., Kufta, A. Y., Krych, A. J., Levy, B. A., Okoroha, K. R., Gonzalez-Carta, K., & Domb, B. G. (2023).;USA;2023;ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY;Sports Medicine;287;Cases;<=19;Not sport;.;Both;Not sport;Not reported;Health;Y;Multivariable suvival analysis;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;R and Excel;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;;Derecha;No;No;No
96;ProjectRun21: Do running experience and running pace influence the risk of running injury - A 14-week prospective cohort study;To investigate the association between load capacity defined as running experience and running pace, and RRI when following a specific half-marathon running schedule;.;N;Damsted, C., Parner, E. T., Sørensen, H., Malisoux, L., & Nielsen, R. O. (2019).;Denmark;2019;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;784;Runners;Not reported;Running;.;Both;Amateur;Not reported;Health;Y;Generalized linear regression model;.;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;OK;Frequentist;STATA;No;Yes;No;Yes;Yes;Yes;Yes;Partial;No;No;No;No;Yes;No;No;No;No;;Derecha;No;No;No
97;Rates of revision and surgeon-reported graft rupture following ACL reconstruction: early results from the New Zealand ACL Registry;To identify the rate of revision and surgeon-reported graft rupture;To clarify the patient risk factors for failure;N;Rahardja, R., Zhu, M., Love, H., Clatworthy, M. G., Monk, A. P., & Young, S. W. (2020).;New Zealand;2020;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;7402;Cases;29.1;Not sport;.;Both;Not sport;New Zealand ACL Registry and Accident Compensation Corporation;Sports Performance Analysis;Y;Cox proportional hazards regression;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;Yes;Yes;Yes;No;NA;Yes;NA;NA;Yes;Yes;;Derecha;No;No;No
98;Reactive postural responses predict risk for acute musculoskeletal injury in collegiate athletes;To examine if objective assessments of reactive postural responses, quantified using wearable inertial measurement units, are associated with the risk for acute lower extremity musculoskeletal injuries in collegiate athletes;.;N;Morris, A., Fino, N. F., Pelo, R., Cushman, D. M., Monson, N. E., Jameson, T., Dibble, L. E., & Fino, P. C. (2023).;USA;2023;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;191;NCAA athletes;19.3;Contact sports and Non-contact sports;Non-contact sports;Both;Both;Not reported;Sports Performance Analysis;Y;Cox proportional hazards regression;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS and MATLAB;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;No
99;Return to Play and Recurrence After Calf Muscle Strain Injuries in Elite Australian Football Players;To determine whether clinical and magnetic resonance imaging (MRI) data are associated with RTP and recurrence after CMSI;.;N;Green, B., Lin, M., McClelland, J. A., Semciw, A. I., Schache, A. G., Rotstein, A. H., Cook, J., & Pizzari, T. (2020).;Australia;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;149;Australian football players;Not reported;Australian football;.;Male;Professional;Soft Tissue Injury Registry of the Australian Football League;Sports Performance Analysis;Y;Cox proportional hazards models;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;Yes;Partial;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
100;Return to play, performance, and career duration after anterior cruciate ligament rupture: A case-control study in the five biggest football nations in Europe;To conduct a comprehensive analysis of the return to play (RTP) rates, performance, and career duration of male football (soccer) players who experienced an anterior cruciate ligament (ACL) rupture;.;N;Niederer, D., Engeroff, T., Wilke, J., Vogt, L., & Banzer, W. (2018).;Germany;2018;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;132;Football players;[18-37];Football;.;Male;Professional;Transfermarkt and WhoScored;Sports Performance Analysis;Y;Log-rank test;.;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;Partial;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
101;Return-to-play probabilities following new versus recurrent ankle sprains in high school athletes;To compare time to return-to-play probability timelines for new and recurrent ankle sprains in interscholastic athletes;.;N;Medina McKeon, J. M., Bush, H. M., Reed, A., Whittington, A., Uhl, T. L., & McKeon, P. O. (2014).;USA;2014;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;204;High school athletes;[14-18];American football, Football, Cross country, Golf, Volleyball, Cheerleading, Basketball, Swimming, Diving, Wrestling, Track & Field, Baseball, Softball and Tennis;Football;Both;Amateur;Not reported;Sports Performance Analysis;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and MATLAB;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;;Derecha;No;No;No
102;Revision Risk After Allograft Anterior Cruciate Ligament Reconstruction: Association With Graft Processing Techniques, Patient Characteristics, and Graft Type;To examine the association of graft processing techniques, patient characteristics, and graft type with risk of revision surgery after allograft ACLR;.;N;Tejwani, S. G., Chen, J., Funahashi, T. T., Love, R., & Maletis, G. B. (2015).;USA;2015;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;5968;Cases;[24.1-42.9];Not sport;.;Both;Not sport;Kaiser Permanente ACL Reconstruction Registry (KPACLRR);Health;Y;Cox proportional hazard models;Cox proportional hazard models and Kaplan-Meier curves;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SAS;No;No;No;Yes;Yes;Partial;Yes;No;Partial;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
103;Risk Factors for Injury Among Japanese Collegiate Players of American Football Based on Performance Test Results;To identify how risk factors for injury during American football are related to players' physical strength as determined using typical performance tests;.;N;Iguchi, J., Watanabe, Y., Kimura, M., Fujisawa, Y., Hojo, T., Yuasa, Y., Higashi, S., & Kuzuhara, K. (2016).;Japan;2016;JOURNAL OF STRENGTH AND CONDITIONING RESEARCH;Sports Medicine;153;Japanese american football players;[19-23];American football;.;Male;Both;Not reported;Sports Performance Analysis;Y;Multivariate Cox Regression;.;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS and PASS13;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
104;Root Repair Versus Partial Meniscectomy for Medial Meniscus Posterior Root Tears: Comparison of Long-term Survivorship and Clinical Outcomes at Minimum 10-Year Follow-up;The compare the long-term outcomes between meniscectomy and repair in medial meniscus posterior root tears (MMPRTs);.;N;Chung, K. S., Ha, J. K., Ra, H. J., Yu, W. J., & Kim, J. G. (2020).;Korea;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;55;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;Yes;No;No;;Derecha;No;No;No
105;Seventy percent long-term survival of the repaired ACL after dynamic intraligamentary stabilization;To determine the survival of the primarily repaired ACL after dynamic intraligamentary stabilization;.;N;Ahmad, S. S., Schürholz, K., Liechti, E. F., Hirschmann, M. T., Kohl, S., & Klenke, F. M. (2020).;Switzerland;2020;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;57;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;No;Partial;Yes;;Derecha;No;No;No
107;Shoe Cushioning Influences the Running Injury Risk According to Body Mass: A Randomized Controlled Trial Involving 848 Recreational Runners;To determine if shoe cushioning influences the injury risk in recreational runners and whether the association depends on the runner's body mass;.;N;Malisoux, L., Delattre, N., Urhausen, A., & Theisen, D. (2020).;Luxembourg;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;848;Recreational Runners;40.5;Running;.;Both;Amateur;NCT03115437 (ClinicalTrials.gov identifier);Health;Y;Competing-risks regression models;Fine and Gray;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;No;No;Yes;Yes;;Derecha;No;No;No
108;Shorter Storage Time Is Strongly Associated With Improved Graft Survivorship at 5 Years After Osteochondral Allograft Transplantation;To investigate the optimal timing for osteochondral allograft (OCA) transplantation in the context of current regulations in the United States;.;N;Merkely, G., Ackermann, J., Farina, E. M., VanArsdale, C., Lattermann, C., & Gomoll, A. H. (2020).;USA;2020;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;111;Cases;[15-56];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and Multivariable Cox Regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Partial;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
109;Shorter time to first injury in first year professional football players: A cross-club comparison in the Australian Football League;To conduct the first comparison of injury risk and playing experience in these two player groups across a large number of AFL clubs;.;N;Fortington, L. V., Berry, J., Buttifant, D., Ullah, S., Diamantopoulou, K., & Finch, C. F. (2016).;Australia;2016;JOURNAL OF SCIENCE AND MEDICINE IN SPORT;Sports Medicine;125;Australian football players;Not reported;Australian football;.;Male;Professional;Australian Football League (AFL) injury survey;Sports Performance Analysis;Y;Cox proportional hazard models;.;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Partial;No;Yes;Yes;Partial;No;No;No;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;No
110;Short-term Outcomes Following Concussion in the NFL: A Study of Player Longevity, Performance, and Financial Loss;To compare the short-term career outcomes for NFL players with concussions by analyzing the effect of concussions on franchise release rate, career length, salary, and performance;.;N;Navarro, S. M., Sokunbi, O. F., Haeberle, H. S., Schickendantz, M. S., Mont, M. A., Figler, R. A., & Ramkumar, P. N. (2017).;USA;2017;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;5894;American football players;Not reported;American football;.;Male;Professional;NFL.com;Sports Performance Analysis;Y;Kaplan-Meier;.;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Partial;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;Yes;;Derecha;No;No;No
111;Similar survivorship at the 5-year follow-up comparing robotic-assisted and conventional lateral unicompartmental knee arthroplasty;To analyse the survivorship and functional outcomes of two samples with similar preoperative clinical and demographic data of lateral unicompartmental knee arthroplasty (UKA) performed with robotic and conventional surgery at a minimum 5-year follow-up;.;N;Maritan, G., Franceschi, G., Nardacchione, R., Furlan, E., Mariani, I., Ursino, N., & D'Ambrosi, R. (2023).;Italy;2023;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;95;Cases;[40-80];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and Cox regression;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Partial;No;;Derecha;No;No;No
112;Sink or Swim? A survival analysis of sport dropout in Australian youth swimmers;To examine long-term participation and dropout rates in Australian youth swimming using survival analyses and to determine whether multiple individual, socio-demographic, and competition-related factors influenced dropout;.;N;Moulds, K., Abbott, S., Pion, J., Brophy-Williams, C., Heathcote, M., & Cobley, S. (2020).;Australia;2020;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;17161;Cases;[10-15];Swimming;.;Both;Amateur;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and Cox regression;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;Yes
113;Sitting patterns in cardiovascular disease patients compared with healthy controls and impact of cardiac rehabilitation;To identify how and when to intervene in cardiovascular disease (CVD) patients' sedentary behavior, we moved beyond studying total volume of sitting and examined sitting patterns;.;N;Ten Broeke, P., van Bakel, B. M. A., Bakker, E. A., Beckers, D. G. J., Geurts, S. A. E., Thijssen, D. H. J., Eijsvogels, T. M. H., & Bijleveld, E. (2022).;The Netherlands;2022;SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS;Sports Medicine;246;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Cox Regression;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;R;No;Yes;Yes;Yes;Yes;No;Yes;No;Partial;No;No;No;Yes;Yes;No;Yes;Yes;;Derecha;No;No;No
114;St Georg Sled medial unicompartmental arthroplasty: survivorship analysis and function at 20 years follow up;To report the functional outcome and survivorship of a large series of fixed bearing, medial unicompartmental replacements (St Georg Sled), with a minimum of 20 years follow-up;.;N;Porteous, A. J., Smith, J. R. A., Bray, R., Robinson, J. R., White, P., & Murray, J. R. D. (2022).;UK;2022;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;496;Cases;72;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;Yes;No;No;Yes;Yes;Yes;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
115;Subsequent Surgery Up to 10 Years After Osteochondral Allograft and Osteochondral Autograft: An Analysis of More Than 2000 Patients;To analyze the frequency of subsequent surgeries in patients who underwent OCA versus OAT;.;N;Burroughs, P. J., Kahan, J. B., Moran, J., Gillinov, S. M., Joo, P. Y., Schneble, C. A., Moore, H. G., Grauer, J. N., & Medvecky, M. J. (2022).;USA;2022;ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE;Sports Medicine;2598;Cases;[10-59];Not sport;.;Both;Not sport;PearlDiver Mariner database;Health;Y;Kaplan-Meier;Kaplan-Meier and Mantel-Cox log-rank test;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;PearlDiver software;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;No;No;;Derecha;No;No;No
116;Superior long-term survival for fixed bearing compared with mobile bearing in ligament-balanced total knee arthroplasty;To investigate the 12-year results of primary TKA using a balancing gap technique and compared survival and clinical outcome between fixed and mobile inserts;.;N;Heesterbeek, P. J. C., van Houten, A. H., Klenk, J. S., Eijer, H., Christen, B., Wymenga, A. B., & Schuster, A. J. (2018).;Switzerland;2018;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;521;Cases;[54.5-97.3];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;Partial;Yes;No;Yes;No;No;NA;Yes;Yes;Yes;Partial;No;;Derecha;No;No;No
117;Survival Analysis of Revision Autologous Chondrocyte Implantation for Failed ACI;To evaluate clinical outcomes in patients who underwent revision ACI of the knee for failure of an initial ACI;To determine the factors affecting the survival rate;N;Ogura, T., Bryant, T., Merkely, G., Mosier, B. A., & Minas, T. (2019).;USA;2019;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;53;Cases;[19-60];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;STATA;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;;Derecha;No;No;No
118;Survival and reoperation rates after meniscal allograft transplantation: analysis of failures for 172 consecutive transplants at a minimum 2-year follow-up;To quantify survival for MAT and report findings at reoperation;.;N;McCormick, F., Harris, J. D., Abrams, G. D., Hussey, K. E., Wilson, H., Frank, R., Gupta, A. K., Bach, B. R., Jr, & Cole, B. J. (2014).;USA;2014;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;172;Cases;[16-56];Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Partial;No;No;NA;Yes;Yes;Yes;No;Yes;;Derecha;No;No;Yes
119;Survivorship After Meniscal Allograft Transplantation According to Articular Cartilage Status;To estimate of graft survival according to the articular cartilage status have not been performed;.;N;Lee, B. S., Bin, S. I., Kim, J. M., Kim, W. K., & Choi, J. W. (2017).;Korea;2017;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;222;Cases;37.5;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;Kaplan-Meier and log-rank test;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Partial;Yes;;Derecha;No;No;No
120;Survivorship and clinical outcomes of 147 consecutive isolated or combined arthroscopic bone plug free meniscal allograft transplantation;To present the results of a survival analysis of a series of 147 arthroscopic MAT procedures;.;N;Zaffagnini, S., Grassi, A., Marcheggiani Muccioli, G. M., Benzi, A., Serra, M., Rotini, M., Bragonzoni, L., & Marcacci, M. (2016).;Italy;2016;KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY;Sports Medicine;147;Cases;Not reported;Not sport;.;Both;Not sport;Not reported;Health;Y;Kaplan-Meier;.;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;OK;Frequentist;MedCalc;No;No;No;Yes;Partial;No;Yes;No;Partial;No;No;No;Yes;Yes;Yes;Yes;No;;Derecha;No;No;No
121;Suspensory Versus Interference Tibial Fixation of Hamstring Tendon Autografts in Anterior Cruciate Ligament Reconstruction: Results From the New Zealand ACL Registry;To investigate the association between the type of tibial fixation device and the risk of revision ACLR;.;N;Rahardja, R., Love, H., Clatworthy, M. G., Monk, A. P., & Young, S. W. (2022).;New Zealand;2022;AMERICAN JOURNAL OF SPORTS MEDICINE;Sports Medicine;6145;Cases;30;Not sport;.;Both;Not sport;New Zealand ACL Registry;Health;Y;Cox Regression;.;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;SPSS;No;No;No;Yes;Yes;No;Yes;Yes;Partial;No;No;No;Yes;No;No;Yes;Yes;;Derecha;No;No;No
122;Talent in Female Gymnastics: a Survival Analysis Based upon Performance Characteristics;To investigate the link between the anthropometric, physical and motor characteristics assessed during talent identification and dropout in young female gymnasts;.;N;Pion, J., Lenoir, M., Vandorpe, B., & Segers, V. (2015).;Belgium;2015;INTERNATIONAL JOURNAL OF SPORTS MEDICINE;Sports Medicine;243;Gymnasts;[6-9];Gymnastics;.;Female;Amateur;Not reported;Sports Performance Analysis;Y;Kaplan-Meier;Kaplan-Meier and Cox Proportional hazards;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;OK;Frequentist;Not reported;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Derecha;No;No;No
